file,scenario,cluster_number,well_name,rig_name,injected_rows,rows_count,z_score_total,z_score_first_50,z_score_first_index,lof_total,lof_first_50,lof_first_index,fft_total,fft_first_50,fft_first_index,ammad_total,ammad_first_50,ammad_first_index
01_physical_limits_first50.txt,Физические пределы,9101,AMMAD-01-PHYS,WR-AMMAD-01-PHYS,0-45,240,54,25,47,5,0,68.0,18,0,125,88,55,0
02_statistical_spikes_first50.txt,Статистические и рабочие выбросы,9102,AMMAD-02-SPIKES,WR-AMMAD-02-SPIKES,"0-5, 18-23, 32-37",240,33,0,69,3,0,130.0,18,0,125,38,5,16
03_context_stuck_sensors_first50.txt,Контекстное залипание каналов при росте глубины,9103,AMMAD-03-STUCK,WR-AMMAD-03-STUCK,0-49,240,46,0,51,3,0,130.0,18,0,125,66,32,10
04_fft_oscillations_starts_first50.txt,Высокочастотные колебания,9104,AMMAD-04-OSC,WR-AMMAD-04-OSC,0-91,240,27,0,57,0,0,,64,0,108,91,40,0
05_mixed_all_types_first50.txt,Смешанный сценарий,9105,AMMAD-05-MIXED,WR-AMMAD-05-MIXED,0-95,240,41,6,32,4,0,68.0,25,0,63,49,20,0
06_related_pressure_events.txt,Связанные импульсы давления,9106,AMMAD-06-REL-PRESS,WR-AMMAD-06-REL-PRESS,"26-36, 74-87, 121-132, 167-179, 208-218",240,41,4,33,3,0,130.0,5,0,133,42,8,10
