Начало рейса - 19 апреля 2012г. 6:32
Окончание рейса - 20 апреля 2012г. 23:12

Глубина	Время	ходы_насоса1	ходы_насоса2	вес_на_крюке	обороты_ротора	нагрузка	момент_ротора	тальблок	уровень_в_емкости	уровень_в_емкости2	уровень_в_емкости3	объем_актив_емкости	давление_на_входе	расход_на_входе	температура_на_выходе	объем_раствора	скорость_механическая	скорость_бурения	метан_абс	этан_абс	пропан_абс	бутан_абс	пентан_абс	сумм_газ	объем_в_емкости1	объем_в_емкости2	объем_в_емкости3	объем_емкости	метан_отн	этан_отн	пропан_отн	бутан_отн	пентан_отн	расход_на_выходе	дмк	число_свечей
1858,1500244140625	41018,274074074070086	0	0	0	0	0	0,335093230009079	11,343902587890625	1,58452033996582	1,476315140724182	1,461760640144348	59,247627258300781	0	0	-4,80026388168335	98,930351257324219	0	0	0	0	0	0	0	0	26,936872482299805	16,235166549682617	16,075586318969727	59,247627258300781	0	0	0	0	0	0	0	24
1858,1500244140625	41018,274189814816054	0	0	0	0	0	0,335276335477829	17,224390029907227	1,584516286849976	1,478551030158997	1,463726162910461	59,29876708984375	0	0	-4,802743911743164	98,981498718261719	0	0	0	0	0	0	0	0	26,936784744262695	16,262430191040039	16,099554061889648	59,29876708984375	0	0	0	0	0	0	0	24
1858,1500244140625	41018,274305555554747	0	0	0	0	0	0,334910124540329	18,306503295898438	1,584497332572937	1,479066371917725	1,464179277420044	59,314556121826172	0	0	-4,803736209869385	98,997283935546875	0	0	0	0	0	0	0	0	26,936485290527344	16,270990371704102	16,107078552246094	59,314556121826172	0	0	0	0	0	0	0	24
1858,1500244140625	41018,274421296300716	0	0	0,117563799023628	0	0	0,335642576217651	18,73658561706543	1,584411382675171	1,477922081947327	1,463173389434814	59,288204193115234	0	0	-4,80505895614624	98,970932006835938	0	0	0	0	0	0	0	0	26,935993194580078	16,257228851318359	16,094982147216797	59,288204193115234	0	0	0	0	0	0	0	24
1858,1500244140625	41018,274537037039408	0	0	0	0	0	0,335276335477829	18,577236175537109	1,582250833511353	1,478347897529602	1,463547587394714	59,263595581054688	0	0	-4,80886173248291	98,946327209472656	0	0	0	0	0	0	0	0	26,903369903564453	16,261493682861328	16,098731994628906	59,263595581054688	0	0	0	0	0	0	0	24
1858,1500244140625	41018,274652777778101	0	0	0	0	0	0,335276335477829	18,577236175537109	1,579246163368225	1,479443073272705	1,464510440826416	59,231025695800781	0	0	-4,811341762542725	98,913749694824219	0	0	0	0	0	0	0	0	26,85230827331543	16,271333694458008	16,107381820678711	59,231025695800781	0	0	0	0	0	0	0	24
1858,1500244140625	41018,274768518516794	0	0	3,501075744628906	0	0	0,335276335477829	18,699186325073242	1,57631778717041	1,480229139328003	1,465201497077942	59,204566955566406	0	0	-4,812334060668945	98,887290954589844	0	0	0	0	0	0	0	0	26,801521301269531	16,284280776977539	16,118762969970703	59,204566955566406	0	0	0	0	0	0	0	24
1858,1500244140625	41018,274884259255487	0	0	9,95926570892334	0	0	0,335367888212204	17,658536911010742	1,575468063354492	1,47786021232605	1,46311891078949	59,137527465820312	0	0	-4,813821792602539	98,820259094238281	0	0	0	0	0	0	0	0	26,782964706420898	16,258481979370117	16,09608268737793	59,137527465820312	0	0	0	0	0	0	0	24
1858,1500244140625	41018,275000000001455	0	0	10,015085220336914	0	0	0,335459470748901	14,486178398132324	1,575467705726624	1,476828336715698	1,462211847305298	59,114791870117188	0	0	-4,815640926361084	98,797515869140625	0	0	0	0	0	0	0	0	26,782951354980469	16,246387481689453	16,085451126098633	59,114791870117188	0	0	0	0	0	0	0	24
1858,1500244140625	41018,275115740740148	0	0	9,940142631530762	0	0	0,335001677274704	11,245528221130371	1,575464367866516	1,475372910499573	1,46093225479126	59,084030151367188	0	0	-4,817625045776367	98,766761779785156	0	0	0	0	0	0	0	0	26,782888412475586	16,230052947998047	16,071090698242188	59,084030151367188	0	0	0	0	0	0	0	24
