Начало рейса - 6 июня 2016г. 10:42
Окончание рейса - 8 июня 2016г. 17:50

Глубина	Время	вес_на_крюке	давление_на_входе	расход_на_входе	параметр4	момент_ротора	обороты_ротора	ходы_насоса2	ходы_насоса1	температура_на_выходе	уровень_в_емкости	уровень_в_емкости4	уровень_в_емкости7	уровень_в_емкости2	уровень_в_емкости5	уровень_в_емкости3	уровень_в_емкости6	параметр5	параметр9	тальблок	объем_емкости	параметр2	нагрузка	уровень_в_долив_емкости	расход_на_выходе	скорость_спо	скорость_механическая	дмк	скорость_бурения	метан_абс	этан_абс	пропан_абс	бутан_абс	пентан_абс	сумм_газ	метан_отн	этан_отн	пропан_отн	бутан_отн	пентан_отн	сумм_газ2	максимальный_газ	общий_вес	число_свечей	объем_в_емкости1	объем_в_емкости2	объем_в_емкости3	объем_актив_емкости	объем_раствора	объем_в_емкости4	объем_в_емкости5	объем_в_емкости6	объем_в_емкости7	глубина_над_забоем	параметр1	параметр8	параметр3	параметр10	объем_в_долив_емкости	скорость_проработки	скорость_тальблока	параметр6
3425,18994140625	42527,447569444440887	21,37774658203125	0	0	0	0	0	0	0	11,699999809265137	1,102403163909912	1,100579261779785	1,899999976158142	1,631216168403625	0,027315184473991	0,020010000094771	0,009999999776483	14	0	11,821937561035156	71,209617614746094	15,596941947937012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	19	23,375823974609375	17,295883178710938	0,212106004357338	51,875823974609375	128,804580688476562	1,430260539054871	0,293436825275421	0,105999998748302	28,5	3425,18994140625	25,876949310302734	1,058442950248718	1,241676092147827	2,597735643386841	0	0	0	0
3425,18994140625	42527,447685185186856	21,388484954833984	0	0	0	0	0	0	0	11,699999809265137	1,104295611381531	1,099506020545959	1,899999976158142	1,631201148033142	0,027321694418788	0,020010000094771	0,009999999776483	14	0	11,821937561035156	71,230781555175781	15,076906204223633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	19	23,404062271118164	17,288982391357422	0,212106004357338	51,904060363769531	128,82574462890625	1,430030822753906	0,289558589458466	0,105999998748302	28,5	3425,18994140625	25,937376022338867	1,197576880455017	1,24095892906189	2,597720384597778	0	0	0	0
3425,18994140625	42527,447800925925549	21,383529663085938	0	0	0	0	0	0	0	11,699999809265137	1,106340885162354	1,100011110305786	1,899999976158142	1,632422685623169	0,027325695380569	0,020010000094771	0,009999999776483	14	0	11,821937561035156	71,290451049804688	14,801935195922852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	19	23,450174331665039	17,302633285522461	0,212106004357338	51,950172424316406	128,885406494140625	1,429891228675842	0,289611011743546	0,105999998748302	28,5	3425,18994140625	26,745201110839844	1,201361179351807	1,240760564804077	2,597659349441528	0	0	0	0
3425,18994140625	42527,447916666671517	21,400049209594727	0	0	0	0	0	0	0	11,699999809265137	1,108999252319336	1,09982168674469	1,899999976158142	1,632249593734741	0,027320371940732	0,020010000094771	0,009999999776483	14	0	11,821937561035156	71,350776672363281	15,345011711120605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	19	23,509857177734375	17,302871704101562	0,212106004357338	52,009857177734375	128,94573974609375	1,430342555046082	0,289629399776459	0,105999998748302	28,5	3425,18994140625	26,203496932983398	1,153767466545105	1,24114203453064	2,597414970397949	0	0	0	0
3425,18994140625	42527,44803240741021	21,439699172973633	0	0	0	0	0	0	0	11,699999809265137	1,104933261871338	1,100705504417419	1,899999976158142	1,630621910095215	0,027316743507981	0,020010000094771	0,009999999776483	14	0	11,821937561035156	71,261634826660156	14,467604637145996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	19	23,437835693359375	17,285758972167969	0,212106004357338	51,937835693359375	128,856582641601562	1,430367231369019	0,289598315954208	0,105999998748302	28,5	3425,18994140625	27,035127639770508	1,135181784629822	1,24163031578064	2,597705125808716	0	0	0	0
3425,18994140625	42527,448148148148903	21,458698272705078	0	0	0	0	0	0	0	11,699999809265137	1,100665092468262	1,100263595581055	1,899999976158142	1,630014896392822	0,02731609903276	0,020010000094771	0,009999999776483	14	0	11,821937561035156	71,157150268554688	14,939268112182617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	19	23,340024948120117	17,279218673706055	0,212106004357338	51,84002685546875	128,752105712890625	1,430252313613892	0,289553821086884	0,105999998748302	28,5	3425,18994140625	25,231483459472656	1,15733814239502	1,24150824546814	2,597735643386841	0	0	0	0
3425,18994140625	42527,448263888887595	21,423179626464844	0	0	0	0	0	0	0	11,699999809265137	1,097990036010742	1,100011110305786	1,899999976158142	1,630003094673157	0,027318609878421	0,020010000094771	0,009999999776483	14	0	11,821937561035156	71,094375610351562	15,451215744018555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	19	23,278097152709961	17,278434753417969	0,212106004357338	51,778099060058594	128,6893310546875	1,430162072181702	0,289557576179504	0,105999998748302	28,5	3425,18994140625	25,952634811401367	1,15099036693573	1,241309881210327	2,597720384597778	0	0	0	0
3425,18994140625	42527,448379629626288	21,39509391784668	0	0	0	0	0	0	0	11,699999809265137	1,102102994918823	1,099695444107056	1,899999976158142	1,629841923713684	0,027319049462676	0,020010000094771	0,009999999776483	14	0	11,821937561035156	71,163894653320312	14,684743881225586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	19	23,350439071655273	17,275569915771484	0,212106004357338	51,850440979003906	128,75885009765625	1,430203080177307	0,2895787358284	0,105999998748302	28,5	3425,18994140625	26,090883255004883	1,203176975250244	1,241172552108765	2,597689867019653	0	0	0	0
3425,18994140625	42527,448495370364981	21,437221527099609	0	0	0	0	0	0	0	11,699999809265137	1,110044598579407	1,100263595581055	1,899999976158142	1,63044548034668	0,027160795405507	0,020010000094771	0,009999999776483	14	0	11,821937561035156	71,337532043457031	14,832301139831543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	19	23,518499374389648	17,282218933105469	0,212106004357338	52,018501281738281	128,9324951171875	1,430121064186096	0,28947988152504	0,105999998748302	28,5	3425,18994140625	26,822412490844727	1,205420136451721	1,270149827003479	2,597995042800903	0	0	0	0
3425,18994140625	42527,448611111110949	21,386007308959961	0	0	0	0	0	0	0	11,699999809265137	1,114376544952393	1,10013735294342	1,899999976158142	1,631003260612488	0,026514513418078	0,020010000094771	0,009999999776483	14	0	11,821937561035156	71,43841552734375	15,542313575744629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	19	23,621120452880859	17,287839889526367	0,212106004357338	52,121120452880859	129,033370971679688	1,430129289627075	0,285905033349991	0,105999998748302	28,5	3425,18994140625	26,837060928344727	1,200567603111267	1,313730239868164	2,598361253738403	0	0	0	0
3425,18994140625	42527,448726851856918	21,421525955200195	0	0	0	0	0	0	0	11,699999809265137	1,113399624824524	1,099884867668152	1,899999976158142	1,631053924560547	0,02651122584939	0,020010000094771	0,009999999776483	14	0	11,821937561035156	71,429046630859375	14,609362602233887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	19	23,610267639160156	17,289443969726562	0,212106004357338	52,110267639160156	129,024002075195312	1,430219531059265	0,281434684991837	0,105999998748302	28,5	3425,18994140625	25,906858444213867	1,149006605148315	1,313882827758789	2,598254442214966	0	0	0	0
3425,18994140625	42527,448842592595611	21,397571563720703	0	0	0	0	0	0	0	11,699999809265137	1,109623432159424	1,10013735294342	1,899999976158142	1,630707979202271	0,026510206982493	0,020010000094771	0,009999999776483	14	0	11,821937561035156	71,347488403320312	15,179296493530273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	19	23,531208038330078	17,286918640136719	0,212106004357338	52,031208038330078	128,94244384765625	1,430252313613892	0,281018078327179	0,105999998748302	28,5	3425,18994140625	26,512954711914062	1,100634813308716	1,314004898071289	2,598223924636841	0	0	0	0
3425,18994140625	42527,448958333334303	21,430612564086914	0	0	0	0	0	0	0	11,699999809265137	1,106758117675781	1,100389838218689	1,899999976158142	1,630172491073608	0,026539606973529	0,020010000094771	0,009999999776483	14	0	11,821937561035156	71,27630615234375	15,333415031433105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	19	23,467897415161133	17,279037475585938	0,212106004357338	51,9678955078125	128,871261596679688	1,430276989936829	0,281011521816254	0,105999998748302	28,5	3425,18994140625	25,891292572021484	1,199530005455017	1,300058007240295	2,597659349441528	0	0	0	0
3425,18994140625	42527,449074074072996	21,372791290283203	0	0	0	0	0	0	0	11,699999809265137	1,105390310287476	1,100579261779785	1,899999976158142	1,629914045333862	0,02816604077816	0,020010000094771	0,009999999776483	14	0	11,821937561035156	71,262611389160156	15,159916877746582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	19	23,438949584960938	17,278310775756836	0,212106004357338	51,938949584960938	128,857574462890625	1,430375456809998	0,285808622837067	0,105999998748302	28,5	3425,18994140625	25,715200424194336	1,099780321121216	1,142292499542236	2,597857713699341	0	0	0	0
3425,18994140625	42527,449189814811689	21,368659973144531	0	0	0	0	0	0	0	11,699999809265137	1,100235939025879	1,100011110305786	1,899999976158142	1,629045963287354	0,028418598696589	0,020010000094771	0,009999999776483	14	0	11,821937561035156	71,154853820800781	15,006256103515625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	19	23,336311340332031	17,269058227539062	0,212106004357338	51,836311340332031	128,749801635742188	1,430145621299744	0,298118680715561	0,105999998748302	28,5	3425,18994140625	25,519577026367188	1,101153612136841	1,142185688018799	2,597506523132324	0	0	0	0
