file,parameter,rows,count,mean,min,max
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_122_well_120\19-21.12.2014 рейс 11.txt,уровень_в_емкости,11485,11485,1.2730327459385486,0.029616503044963,26.899999618530277
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_122_well_120\21-23.12.2014 рейс 12.txt,вес_на_крюке,7938,7938,10.043666883334462,0.129877626895905,27.138641357421875
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_122_well_120\21-23.12.2014 рейс 12.txt,глубина,7938,7938,810.3969695883453,796.489990234375,840.0399780273436
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_122_well_120\21-23.12.2014 рейс 12.txt,давление_на_входе,7938,7938,60.577212735132846,0.0,125.41548919677734
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_122_well_120\21-23.12.2014 рейс 12.txt,дмк,7938,7938,2.5190028375388693,0.0,76.41053009033203
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_122_well_120\21-23.12.2014 рейс 12.txt,момент_ротора,7938,7938,0.0,0.0,0.0
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_122_well_120\21-23.12.2014 рейс 12.txt,нагрузка,7938,7938,1.2156668596146134,0.0,11.22641372680664
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_122_well_120\21-23.12.2014 рейс 12.txt,обороты_ротора,7938,7938,7.312035354099414,-0.609265983104706,40.35959243774414
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_122_well_120\21-23.12.2014 рейс 12.txt,расход_на_входе,7938,7938,7.9761134300246725,0.0,18.14366149902344
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_122_well_120\21-23.12.2014 рейс 12.txt,скорость_бурения,7938,7938,1.9750548114830713,0.0,34.70588302612305
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_122_well_120\21-23.12.2014 рейс 12.txt,скорость_спо,7938,7938,0.013232630197707663,0.0,1.177937269210815
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_122_well_120\21-23.12.2014 рейс 12.txt,температура_на_выходе,7938,7938,0.0,0.0,0.0
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_122_well_120\21-23.12.2014 рейс 12.txt,уровень_в_емкости,7938,7938,1.4683779334054843,1.395304799079895,1.539345145225525
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_122_well_120\23-26.12.2014 рейс 15.txt,вес_на_крюке,25830,25830,9.472037452446067,0.233483701944351,22.45918273925781
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_122_well_120\23-26.12.2014 рейс 15.txt,глубина,25830,25830,937.9044829766971,840.0399780273436,1020.9642333984376
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_122_well_120\23-26.12.2014 рейс 15.txt,давление_на_входе,25830,25830,72.85143602518511,0.0,162.65701293945312
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_122_well_120\23-26.12.2014 рейс 15.txt,дмк,25830,25830,6.10221528283995,0.0,152.36000061035156
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_122_well_120\23-26.12.2014 рейс 15.txt,момент_ротора,25830,25830,0.0,0.0,0.0
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_122_well_120\23-26.12.2014 рейс 15.txt,нагрузка,25830,25830,2.45345940454854,0.0,16.429126739501953
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_122_well_120\23-26.12.2014 рейс 15.txt,обороты_ротора,25830,25830,14.35649819500061,-0.760892629623413,41.964553833007805
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_122_well_120\23-26.12.2014 рейс 15.txt,расход_на_входе,25830,25830,8.789973434881803,0.0,34.05351638793945
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_122_well_120\23-26.12.2014 рейс 15.txt,скорость_бурения,25830,25830,2.509653394868467,0.0,42.76470565795898
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_122_well_120\23-26.12.2014 рейс 15.txt,скорость_спо,25830,25830,0.01067016157785175,0.0,0.934688150882721
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_122_well_120\23-26.12.2014 рейс 15.txt,температура_на_выходе,25830,25830,0.0,0.0,0.0
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_122_well_120\23-26.12.2014 рейс 15.txt,уровень_в_емкости,25830,25830,1.2857668860794913,0.874546825885773,1.523099541664124
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\06-08.06.2016 рейс 11.txt,вес_на_крюке,19848,19848,49.53980487030103,20.044578552246094,111.12821960449217
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\06-08.06.2016 рейс 11.txt,глубина,19848,19848,3430.4317488941347,3425.18994140625,3434.056884765625
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\06-08.06.2016 рейс 11.txt,давление_на_входе,19848,19848,54.11790206130616,0.0,266.3119201660156
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\06-08.06.2016 рейс 11.txt,дмк,19848,19848,2.9289018032484506,0.0,51.122554779052734
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\06-08.06.2016 рейс 11.txt,момент_ротора,19848,19848,1.9435276628445353,0.0,18.21887969970703
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\06-08.06.2016 рейс 11.txt,нагрузка,19848,19848,-0.05075339308213698,-12.458471298217772,15.249284744262695
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\06-08.06.2016 рейс 11.txt,обороты_ротора,19848,19848,8.035312885682146,0.0,40.731460571289055
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\06-08.06.2016 рейс 11.txt,расход_на_входе,19848,19848,3.3036264719283333,0.0,14.228878021240234
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\06-08.06.2016 рейс 11.txt,скорость_бурения,19848,19848,0.15488372668503803,0.0,8.658642768859863
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\06-08.06.2016 рейс 11.txt,скорость_спо,19848,19848,0.03327254791404239,0.0,1.698090076446533
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\06-08.06.2016 рейс 11.txt,температура_на_выходе,19848,19848,15.96263056352032,9.34256076812744,36.56081008911133
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\06-08.06.2016 рейс 11.txt,уровень_в_емкости,19848,19848,1.4586292255710374,1.057862877845764,1.629183053970337
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\08-11.06.2016 рейс 12.txt,вес_на_крюке,26405,26405,65.22730278754817,20.327875137329105,117.5170211791992
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\08-11.06.2016 рейс 12.txt,глубина,26405,26405,3468.1823531402374,3434.06005859375,3497.437744140625
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\08-11.06.2016 рейс 12.txt,давление_на_входе,26405,26405,195.61199247291867,-39.96539688110352,335.8485717773437
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\08-11.06.2016 рейс 12.txt,дмк,26405,26405,10.773994870412487,0.0,79.78068542480467
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\08-11.06.2016 рейс 12.txt,момент_ротора,26405,26405,3.3010680823885625,0.0,18.928131103515625
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\08-11.06.2016 рейс 12.txt,нагрузка,26405,26405,1.8918247678767537,-3.986711025238037,9.969145774841309
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\08-11.06.2016 рейс 12.txt,обороты_ротора,26405,26405,15.844780355552114,0.0,45.89990234375
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\08-11.06.2016 рейс 12.txt,расход_на_входе,26405,26405,9.330059762057616,-11.505189895629885,16.070220947265625
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\08-11.06.2016 рейс 12.txt,скорость_бурения,26405,26405,0.8567379940670111,0.0,24.93387031555176
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\08-11.06.2016 рейс 12.txt,скорость_спо,26405,26405,0.02664902032236767,0.0,1.749390602111816
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\08-11.06.2016 рейс 12.txt,температура_на_выходе,26405,26405,25.205833580719208,11.0,34.58597946166992
